Year,Size of particulate matter,Local Authority,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2013,PM 10,Southend-on-Sea,Undefined,Units,microgram/m3,E06000033,14.95855102
2013,,Southend-on-Sea,Undefined,Units,microgram/m3,E06000033,10.63672807
2016,PM 10,Southend-on-Sea,Undefined,Units,microgram/m3,E06000033,17.0
2016,,Southend-on-Sea,Undefined,Units,microgram/m3,E06000033,12.0
2016,PM 10,Speke,Undefined,Units,microgram/m3,,15.0
2016,,Speke,Undefined,Units,microgram/m3,,10.0
2013,,Stanford le Hope,Undefined,Units,microgram/m3,,14.23764412
2016,PM 10,Stanford le Hope,Undefined,Units,microgram/m3,,20.0
2016,,Stanford le Hope,Undefined,Units,microgram/m3,,13.0
2016,PM 10,Stanmore,Undefined,Units,microgram/m3,,16.0
2016,,Stanmore,Undefined,Units,microgram/m3,,11.0
2016,PM 10,Stockbridge,Undefined,Units,microgram/m3,,15.0
2016,,Stockbridge,Undefined,Units,microgram/m3,,9.0
2013,,Stockton-on-Tees,Undefined,Units,microgram/m3,E06000004,10.04857825
2016,PM 10,Stockton-on-Tees,Undefined,Units,microgram/m3,E06000004,14.0
2016,,Stockton-on-Tees,Undefined,Units,microgram/m3,E06000004,9.0
2008,PM 10,Stoke-on-Trent,Undefined,Units,microgram/m3,E06000021,18.828
2011,PM 10,Stoke-on-Trent,Undefined,Units,microgram/m3,E06000021,22.227
2011,,Stoke-on-Trent,Undefined,Units,microgram/m3,E06000021,16.302
2013,PM 10,Stoke-on-Trent,Undefined,Units,microgram/m3,E06000021,20.0
2013,,Stoke-on-Trent,Undefined,Units,microgram/m3,E06000021,14.0
2013,,Stoke-on-Trent,Undefined,Units,microgram/m3,E06000021,13.78392794
2016,PM 10,Stoke-on-Trent,Undefined,Units,microgram/m3,E06000021,20.0
2016,,Stoke-on-Trent,Undefined,Units,microgram/m3,E06000021,12.0
2016,PM 10,Storrington,Undefined,Units,microgram/m3,,19.0
2016,,Storrington,Undefined,Units,microgram/m3,,13.0
2011,,Sunderland,Undefined,Units,microgram/m3,E08000024,14.947
2013,PM 10,Sunderland,Undefined,Units,microgram/m3,E08000024,12.76410878
2013,,Sunderland,Undefined,Units,microgram/m3,E08000024,9.07630385
2016,PM 10,Sunderland,Undefined,Units,microgram/m3,E08000024,12.0
2016,,Sunderland,Undefined,Units,microgram/m3,E08000024,8.0
2008,PM 10,Swansea,Undefined,Units,microgram/m3,W06000011,17.489
2013,,Swansea,Undefined,Units,microgram/m3,W06000011,11.92969335
2016,PM 10,Swansea,Undefined,Units,microgram/m3,W06000011,19.0
2016,,Swansea,Undefined,Units,microgram/m3,W06000011,13.0
2011,PM 10,Thurrock,Undefined,Units,microgram/m3,E06000034,24.852
2011,,Thurrock,Undefined,Units,microgram/m3,E06000034,17.55971892
2013,,Thurrock,Undefined,Units,microgram/m3,E06000034,13.62201607
2011,PM 10,Warrington,Undefined,Units,microgram/m3,E06000007,18.588
2011,,Warrington,Undefined,Units,microgram/m3,E06000007,12.772
2013,PM 10,Warrington,Undefined,Units,microgram/m3,E06000007,17.5294804
2013,,Warrington,Undefined,Units,microgram/m3,E06000007,13.60900228
2014,PM 10,Warrington,Undefined,Units,microgram/m3,E06000007,21.0
2014,,Warrington,Undefined,Units,microgram/m3,E06000007,14.0
2011,PM 10,Warwick,Undefined,Units,microgram/m3,E07000222,20.389
2011,,Warwick,Undefined,Units,microgram/m3,E07000222,14.40628959
2013,,Wigan,Undefined,Units,microgram/m3,E08000010,12.80929487
2015,PM 10,Wigan,Undefined,Units,microgram/m3,E08000010,16.0
2015,,Wigan,Undefined,Units,microgram/m3,E08000010,11.0
2008,PM 10,Wirral,Undefined,Units,microgram/m3,E08000015,13.908
2011,,Wirral,Undefined,Units,microgram/m3,E08000015,10.093
2013,,Wrexham,Undefined,Units,microgram/m3,W06000006,10.39239766
2016,PM 10,Wrexham,Undefined,Units,microgram/m3,W06000006,12.0
2016,,Wrexham,Undefined,Units,microgram/m3,W06000006,8.0
2008,PM 10,York,Undefined,Units,microgram/m3,E06000014,21.1325
2011,PM 10,York,Undefined,Units,microgram/m3,E06000014,18.046
2011,,York,Undefined,Units,microgram/m3,E06000014,12.75079219
2013,,York,Undefined,Units,microgram/m3,E06000014,12.37950132
2016,PM 10,York,Undefined,Units,microgram/m3,E06000014,16.0
2016,,York,Undefined,Units,microgram/m3,E06000014,11.0
2008,PM 10,,Undefined,Units,microgram/m3,,23.42292083
2011,PM 10,,Undefined,Units,microgram/m3,,20.76593781
2014,,,Undefined,Units,microgram/m3,,12.4
2016,,,Undefined,Units,microgram/m3,,10.5
