Year,Series,Industry sector,Units,Unit multiplier,Observation status,Value
2012,Energy intensity level of primary energy,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.6
2013,Energy intensity level of primary energy,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.5
2014,Energy intensity level of primary energy,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.3
2015,Energy intensity level of primary energy,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.2
2016,Energy intensity level of primary energy,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.1
2017,Energy intensity level of primary energy,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.0
2018,Energy intensity level of primary energy,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.0
2019,Energy intensity level of primary energy,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.9
1990,Energy intensity level of primary energy,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
1991,Energy intensity level of primary energy,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
1992,Energy intensity level of primary energy,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
1993,Energy intensity level of primary energy,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
1994,Energy intensity level of primary energy,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
1995,Energy intensity level of primary energy,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
1996,Energy intensity level of primary energy,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
1997,Energy intensity level of primary energy,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.1
1998,Energy intensity level of primary energy,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
1999,Energy intensity level of primary energy,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
2000,Energy intensity level of primary energy,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
2001,Energy intensity level of primary energy,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
2002,Energy intensity level of primary energy,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
2003,Energy intensity level of primary energy,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
2004,Energy intensity level of primary energy,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.1
2005,Energy intensity level of primary energy,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
2006,Energy intensity level of primary energy,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
2007,Energy intensity level of primary energy,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
2008,Energy intensity level of primary energy,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
2009,Energy intensity level of primary energy,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
2010,Energy intensity level of primary energy,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
2011,Energy intensity level of primary energy,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
2012,Energy intensity level of primary energy,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
2013,Energy intensity level of primary energy,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.1
2014,Energy intensity level of primary energy,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.1
2015,Energy intensity level of primary energy,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.1
2016,Energy intensity level of primary energy,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.1
2017,Energy intensity level of primary energy,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.1
2018,Energy intensity level of primary energy,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.1
2019,Energy intensity level of primary energy,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.1
1990,Energy intensity level of primary energy,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Normal Value,20.9
1991,Energy intensity level of primary energy,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Normal Value,21.5
1992,Energy intensity level of primary energy,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Normal Value,21.3
1993,Energy intensity level of primary energy,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Normal Value,21.5
1994,Energy intensity level of primary energy,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Normal Value,20.5
1995,Energy intensity level of primary energy,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Normal Value,20.2
1996,Energy intensity level of primary energy,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Normal Value,20.5
1997,Energy intensity level of primary energy,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Normal Value,20.9
1998,Energy intensity level of primary energy,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Normal Value,20.3
1999,Energy intensity level of primary energy,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Normal Value,18.8
2000,Energy intensity level of primary energy,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Normal Value,18.9
2001,Energy intensity level of primary energy,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Normal Value,20.1
2002,Energy intensity level of primary energy,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Normal Value,20.6
2003,Energy intensity level of primary energy,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Normal Value,19.9
2004,Energy intensity level of primary energy,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Normal Value,19.9
2005,Energy intensity level of primary energy,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Normal Value,20.4
2006,Energy intensity level of primary energy,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Normal Value,18.0
2007,Energy intensity level of primary energy,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Normal Value,18.3
2008,Energy intensity level of primary energy,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Normal Value,17.1
2009,Energy intensity level of primary energy,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Normal Value,17.8
2010,Energy intensity level of primary energy,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Normal Value,16.9
2011,Energy intensity level of primary energy,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Normal Value,17.2
2012,Energy intensity level of primary energy,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Normal Value,16.3
2013,Energy intensity level of primary energy,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Normal Value,15.4
2014,Energy intensity level of primary energy,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Normal Value,15.9
2015,Energy intensity level of primary energy,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Normal Value,17.3
2016,Energy intensity level of primary energy,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Normal Value,17.4
2017,Energy intensity level of primary energy,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Normal Value,15.9
2018,Energy intensity level of primary energy,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Normal Value,16.2
2019,Energy intensity level of primary energy,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Normal Value,15.4
1990,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.2
1991,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,5.0
1992,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.5
1993,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.2
1994,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.2
1995,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.1
1996,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.0
1997,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.1
1998,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.8
1999,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.3
2000,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.5
2001,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,5.3
2002,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.5
2003,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.9
2004,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.5
2005,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.9
2006,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,5.0
2007,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.8
2008,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.7
2009,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.1
2010,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.7
2011,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.9
2012,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,5.2
2013,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,5.3
2014,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.9
2015,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.8
2016,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.8
2017,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,5.0
2018,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,5.0
2019,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.7
1990,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.4
1991,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.5
1992,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.4
1993,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.3
1994,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.2
1995,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.2
1996,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.2
1997,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.3
1998,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.3
1999,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.5
2000,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.5
2001,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.4
2002,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.4
2003,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.5
2004,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.6
2005,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.4
2006,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.3
2007,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.2
2008,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.2
2009,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.4
2010,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.2
2011,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.2
2012,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.3
2013,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.2
2014,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.0
2015,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.1
2016,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.0
2017,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.0
2018,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.0
2019,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.0
1990,Energy intensity level of primary energy,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.2
1991,Energy intensity level of primary energy,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.2
1992,Energy intensity level of primary energy,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.2
1993,Energy intensity level of primary energy,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.2
1994,Energy intensity level of primary energy,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.1
1995,Energy intensity level of primary energy,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.1
1996,Energy intensity level of primary energy,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.1
1997,Energy intensity level of primary energy,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.1
1998,Energy intensity level of primary energy,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.1
1999,Energy intensity level of primary energy,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.2
2000,Energy intensity level of primary energy,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.2
2001,Energy intensity level of primary energy,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.4
2002,Energy intensity level of primary energy,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.1
2003,Energy intensity level of primary energy,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.3
2004,Energy intensity level of primary energy,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.2
2005,Energy intensity level of primary energy,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.2
2006,Energy intensity level of primary energy,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.2
2007,Energy intensity level of primary energy,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.2
2008,Energy intensity level of primary energy,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.4
2009,Energy intensity level of primary energy,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.2
2010,Energy intensity level of primary energy,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.3
2011,Energy intensity level of primary energy,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.2
2012,Energy intensity level of primary energy,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.2
2013,Energy intensity level of primary energy,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.2
2014,Energy intensity level of primary energy,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.9
2015,Energy intensity level of primary energy,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.0
2016,Energy intensity level of primary energy,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.0
2017,Energy intensity level of primary energy,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.0
2018,Energy intensity level of primary energy,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.8
2019,Energy intensity level of primary energy,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.8
2020,Energy intensity level of primary energy,,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.3
2020,Energy intensity level of primary energy,"Agriculture, forestry and fishing",Terajoules per million pounds (TJ/£ million),Units,Normal Value,10.6
2020,Energy intensity level of primary energy,Mining and quarrying,Terajoules per million pounds (TJ/£ million),Units,Normal Value,14.0
2020,Energy intensity level of primary energy,Manufacturing,Terajoules per million pounds (TJ/£ million),Units,Normal Value,8.4
2020,Energy intensity level of primary energy,"Electricity, gas, steam and air conditioning supply",Terajoules per million pounds (TJ/£ million),Units,Normal Value,11.0
2020,Energy intensity level of primary energy,"Water supply; sewerage, waste management and remediation activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,4.6
2020,Energy intensity level of primary energy,Construction,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.1
2020,Energy intensity level of primary energy,Wholesale and retail trade; repair of motor vehicles and motorcycles,Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.9
2020,Energy intensity level of primary energy,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Normal Value,11.7
2020,Energy intensity level of primary energy,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Normal Value,2.9
2020,Energy intensity level of primary energy,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.3
2020,Energy intensity level of primary energy,Financial and insurance activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.2
2020,Energy intensity level of primary energy,Real estate activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.1
2020,Energy intensity level of primary energy,"Professional, scientific and technical activities",Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.3
2020,Energy intensity level of primary energy,Administrative and support service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.5
2020,Energy intensity level of primary energy,Public administration and defence; compulsory social security,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.8
2020,Energy intensity level of primary energy,Education,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.6
2020,Energy intensity level of primary energy,Human health and social work activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.8
2020,Energy intensity level of primary energy,"Arts, entertainment and recreation",Terajoules per million pounds (TJ/£ million),Units,Normal Value,1.1
2020,Energy intensity level of primary energy,Other service activities,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.8
2020,Energy intensity level of primary energy,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Terajoules per million pounds (TJ/£ million),Units,Normal Value,0.1
