Year,Sex,Country,Region,Health Board,Birth weight,Age,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2014,,England and Wales,,,4000 and over,,"Rate per 1,000 live births",Units,Undefined,K04000001,0.4
2015,,England and Wales,,,4000 and over,,"Rate per 1,000 live births",Units,Undefined,K04000001,0.4
2016,,England and Wales,,,4000 and over,,"Rate per 1,000 live births",Units,Undefined,K04000001,0.4
2008,,England and Wales,,,Not stated,,"Rate per 1,000 live births",Units,Undefined,K04000001,24.2
2009,,England and Wales,,,Not stated,,"Rate per 1,000 live births",Units,Undefined,K04000001,37.6
2010,,England and Wales,,,Not stated,,"Rate per 1,000 live births",Units,Undefined,K04000001,24.8
2011,,England and Wales,,,Not stated,,"Rate per 1,000 live births",Units,Undefined,K04000001,25.7
2012,,England and Wales,,,Not stated,,"Rate per 1,000 live births",Units,Undefined,K04000001,29.1
2013,,England and Wales,,,Not stated,,"Rate per 1,000 live births",Units,Undefined,K04000001,26.9
2014,,England and Wales,,,Not stated,,"Rate per 1,000 live births",Units,Undefined,K04000001,18.7
2015,,England and Wales,,,Not stated,,"Rate per 1,000 live births",Units,Undefined,K04000001,21.6
