Year,Industry sector,Unit measure,Unit multiplier,Observation status,Value
2016,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,16.85
2017,Transport and storage,Terajoules per million pounds (TJ/£ million),Units,Undefined,15.86
1990,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.67
1991,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.08
1992,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.08
1993,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.22
1994,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.13
1995,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.19
1996,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.42
1997,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.2
1998,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.27
1999,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.08
2000,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.22
2001,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,3.17
2002,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.89
2003,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.85
2004,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.93
2005,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.81
2006,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.57
2007,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.4
2008,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.68
2009,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.5
2010,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.54
2011,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.29
2012,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.34
2013,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.44
2014,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.11
2015,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.1
2016,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.09
2017,Accommodation and food services,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.97
1990,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.27
1991,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.33
1992,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.28
1993,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.32
1994,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.23
1995,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.22
1996,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.21
1997,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.15
1998,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,2.15
1999,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.86
2000,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.56
2001,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.55
2002,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.45
2003,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.44
2004,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.26
2005,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.23
2006,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.13
2007,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.04
2008,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.04
2009,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.0
2010,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,1.03
2011,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.95
2012,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.95
2013,Information and communication,Terajoules per million pounds (TJ/£ million),Units,Undefined,0.96
