Year,Series,Industry sector,Observation status,Unit multiplier,Unit measure,Value
2009,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.07
2009,CO2 emission per manufacturing industry per unit of GVA,Education,Normal value,Thousands,Tonnes per million GBP (£),0.03
2009,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2009,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.03
2009,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2009,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.01
2010,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.26
2010,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.65
2010,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.72
2010,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.55
2010,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),6.63
2010,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.14
2010,CO2 emission per manufacturing industry per unit of GVA,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.11
2010,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.07
2010,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.09
2010,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.07
2010,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.02
2010,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2010,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2010,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.02
2010,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
2010,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.08
2010,CO2 emission per manufacturing industry per unit of GVA,Education,Normal value,Thousands,Tonnes per million GBP (£),0.03
2010,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2010,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.03
2010,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2010,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.01
2011,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.24
2011,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.52
2011,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.87
2011,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.54
2011,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),7.06
2011,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.14
2011,CO2 emission per manufacturing industry per unit of GVA,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.1
2011,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.06
2011,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.12
2011,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.06
2011,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.01
2011,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2011,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2011,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.01
2011,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
2011,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.06
2011,CO2 emission per manufacturing industry per unit of GVA,Education,Normal value,Thousands,Tonnes per million GBP (£),0.02
2011,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2011,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.03
2011,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2011,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.01
2012,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.24
2012,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.61
2012,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.91
2012,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.51
2012,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),7.18
2012,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.15
2012,CO2 emission per manufacturing industry per unit of GVA,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.1
2012,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.06
2012,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.06
2012,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.06
2012,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.01
2012,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2012,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2012,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.01
2012,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
2012,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.07
2012,CO2 emission per manufacturing industry per unit of GVA,Education,Normal value,Thousands,Tonnes per million GBP (£),0.03
2012,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2012,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.03
2012,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2012,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.01
2013,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.23
2013,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.6
2013,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),1.01
2013,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.51
2013,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),6.14
2013,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.16
2013,CO2 emission per manufacturing industry per unit of GVA,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.09
2013,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.06
2013,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.0
2013,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.06
2013,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.01
2013,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2013,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2013,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.01
2013,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2013,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.06
2013,CO2 emission per manufacturing industry per unit of GVA,Education,Normal value,Thousands,Tonnes per million GBP (£),0.03
2013,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.04
2013,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.03
2013,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2013,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.01
2014,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.21
2014,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.47
2014,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),1.0
2014,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.49
2014,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),6.05
2014,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.16
2014,CO2 emission per manufacturing industry per unit of GVA,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.09
2014,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.06
2014,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.05
2014,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.06
2014,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.01
2014,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2014,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2014,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.01
2014,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2014,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.05
2014,CO2 emission per manufacturing industry per unit of GVA,Education,Normal value,Thousands,Tonnes per million GBP (£),0.02
2014,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2014,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.03
2014,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2014,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.01
2015,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.2
2015,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.55
2015,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.94
2015,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.47
2015,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),4.5
2015,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.16
2015,CO2 emission per manufacturing industry per unit of GVA,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.1
2015,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.06
2015,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.15
2015,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.06
2015,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.01
2015,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2015,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2015,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.01
2015,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2015,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.05
2015,CO2 emission per manufacturing industry per unit of GVA,Education,Normal value,Thousands,Tonnes per million GBP (£),0.02
2015,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2015,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.03
2015,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2015,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.01
2016,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.19
2016,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.66
2016,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.85
2016,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.44
2016,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),3.78
2016,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.18
2016,CO2 emission per manufacturing industry per unit of GVA,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.1
2016,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.06
2016,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.16
2016,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.06
2016,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.01
2016,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2016,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2016,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.01
2016,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2016,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.05
2016,CO2 emission per manufacturing industry per unit of GVA,Education,Normal value,Thousands,Tonnes per million GBP (£),0.02
2016,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2016,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.03
2016,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2016,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.01
2017,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.17
2017,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.63
2017,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.93
2017,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.44
2017,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),3.6
2017,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.19
2017,CO2 emission per manufacturing industry per unit of GVA,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.1
2017,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.06
2017,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.06
2017,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.06
2017,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.01
2017,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2017,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2017,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.01
2017,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2017,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.05
2017,CO2 emission per manufacturing industry per unit of GVA,Education,Normal value,Thousands,Tonnes per million GBP (£),0.02
2017,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2017,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.03
2017,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2017,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.01
2018,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.17
2018,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.72
2018,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.87
2018,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.42
2018,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),3.38
2018,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.19
2018,CO2 emission per manufacturing industry per unit of GVA,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.1
2018,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.06
2018,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.08
2018,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.06
2018,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.01
2018,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2018,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2018,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.01
2018,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2018,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.05
2018,CO2 emission per manufacturing industry per unit of GVA,Education,Normal value,Thousands,Tonnes per million GBP (£),0.02
2018,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2018,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.03
2018,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2018,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.01
2019,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.16
2019,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.63
2019,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.85
2019,CO2 emission per manufacturing industry per unit of GVA,Manufacturing,Normal value,Thousands,Tonnes per million GBP (£),0.4
2019,CO2 emission per manufacturing industry per unit of GVA,"Electricity, gas, steam and air conditioning supply",Normal value,Thousands,Tonnes per million GBP (£),2.8
2019,CO2 emission per manufacturing industry per unit of GVA,"Water supply; sewerage, waste management and remediation activities",Normal value,Thousands,Tonnes per million GBP (£),0.19
2019,CO2 emission per manufacturing industry per unit of GVA,Construction,Normal value,Thousands,Tonnes per million GBP (£),0.1
2019,CO2 emission per manufacturing industry per unit of GVA,Wholesale and retail trade; repair of motor vehicles and motorcycles,Normal value,Thousands,Tonnes per million GBP (£),0.06
2019,CO2 emission per manufacturing industry per unit of GVA,Transport and storage,Normal value,Thousands,Tonnes per million GBP (£),1.04
2019,CO2 emission per manufacturing industry per unit of GVA,Accommodation and food services,Normal value,Thousands,Tonnes per million GBP (£),0.06
2019,CO2 emission per manufacturing industry per unit of GVA,Information and communication,Normal value,Thousands,Tonnes per million GBP (£),0.01
2019,CO2 emission per manufacturing industry per unit of GVA,Financial and insurance activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2019,CO2 emission per manufacturing industry per unit of GVA,Real estate activities,Normal value,Thousands,Tonnes per million GBP (£),0.0
2019,CO2 emission per manufacturing industry per unit of GVA,"Professional, scientific and technical activities",Normal value,Thousands,Tonnes per million GBP (£),0.01
2019,CO2 emission per manufacturing industry per unit of GVA,Administrative and support service activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2019,CO2 emission per manufacturing industry per unit of GVA,Public administration and defence; compulsory social security,Normal value,Thousands,Tonnes per million GBP (£),0.05
2019,CO2 emission per manufacturing industry per unit of GVA,Education,Normal value,Thousands,Tonnes per million GBP (£),0.02
2019,CO2 emission per manufacturing industry per unit of GVA,Human health and social work activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2019,CO2 emission per manufacturing industry per unit of GVA,"Arts, entertainment and recreation",Normal value,Thousands,Tonnes per million GBP (£),0.02
2019,CO2 emission per manufacturing industry per unit of GVA,Other service activities,Normal value,Thousands,Tonnes per million GBP (£),0.03
2019,CO2 emission per manufacturing industry per unit of GVA,Activities of households as employers; undifferentiated goods and services-producing activities of households for own use,Normal value,Thousands,Tonnes per million GBP (£),0.01
2020,CO2 emission per manufacturing industry per unit of GVA,,Normal value,Thousands,Tonnes per million GBP (£),0.15
2020,CO2 emission per manufacturing industry per unit of GVA,"Agriculture, forestry and fishing",Normal value,Thousands,Tonnes per million GBP (£),0.65
2020,CO2 emission per manufacturing industry per unit of GVA,Mining and quarrying,Normal value,Thousands,Tonnes per million GBP (£),0.97
