Year,Units,Sex,Age,Unit measure,Unit multiplier,Observation status,Value
2014 Q4,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,15.701630450912528
2015 Q1,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,12.851069645215373
2015 Q1,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,3.594381634971575
2015 Q1,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,15.235330582176216
2015 Q2,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,12.655730906098226
2015 Q2,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,3.255361784702913
2015 Q2,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,15.069256888990868
2015 Q3,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,11.804828622080624
2015 Q3,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,3.572276085123728
2015 Q3,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,13.91385222856074
2015 Q4,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,11.867336256061053
2015 Q4,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,3.352768941248808
2015 Q4,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,14.044930464560174
2016 Q1,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,12.002207778480265
2016 Q1,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,4.115156775704288
2016 Q1,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,14.016085544878578
2016 Q2,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,11.734087247985654
2016 Q2,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,4.317498197072179
2016 Q2,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,13.624562490580251
2016 Q3,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,11.9945457252335
2016 Q3,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,4.128645284841695
2016 Q3,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,13.994968248102705
2016 Q4,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,11.508406433334555
2016 Q4,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,4.2950253384415875
2016 Q4,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,13.338001320871374
2017 Q1,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,11.165370246747019
2017 Q1,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,4.22630342812885
2017 Q1,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,12.920618863199401
2017 Q2,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,11.15444330882824
2017 Q2,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,4.683494867668181
2017 Q2,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,12.786847868745966
2017 Q3,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,11.25463726501084
2017 Q3,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,4.699421397798026
2017 Q3,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,12.903355936489751
2017 Q4,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,11.256850129382324
2017 Q4,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,4.437734399411227
2017 Q4,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,12.966575050788956
2018 Q1,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,11.361659048189876
2018 Q1,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,4.293671915961976
2018 Q1,1. Seasonally adjusted percentage (%),,18 to 24,Percentage (%),Units,Undefined,13.128081032489774
2018 Q2,1. Seasonally adjusted percentage (%),,,Percentage (%),Units,Undefined,11.11575533142641
2018 Q2,1. Seasonally adjusted percentage (%),,16 to 17,Percentage (%),Units,Undefined,4.0298746995438615
