Year,Country,Sustainably managed status,Observation status,Unit measure,Unit multiplier,GeoCode,Value
2018,Scotland,,Normal value,percentage (%),Units,S92000003,18.6133845926947
2018,Scotland,Certified,Normal value,percentage (%),Units,S92000003,10.6912223749012
2018,Scotland,Non-certified,Normal value,percentage (%),Units,S92000003,7.9221622177934
2018,Northern Ireland,,Normal value,percentage (%),Units,N92000002,7.97508837594184
2018,Northern Ireland,Certified,Normal value,percentage (%),Units,N92000002,4.73754686634474
2018,Northern Ireland,Non-certified,Normal value,percentage (%),Units,N92000002,3.2375415095971
2018,,,Normal value,percentage (%),Units,,13.0591935396207
2018,,Certified,Normal value,percentage (%),Units,,5.66497565923801
2018,,Non-certified,Normal value,percentage (%),Units,,7.39421788038274
2019,England,,Normal value,percentage (%),Units,E92000001,10.1296542097727
2019,England,Certified,Normal value,percentage (%),Units,E92000001,2.49309460557401
2019,England,Non-certified,Normal value,percentage (%),Units,E92000001,7.63655960419874
2019,Wales,,Normal value,percentage (%),Units,W92000004,14.9494723747687
2019,Wales,Certified,Normal value,percentage (%),Units,W92000004,7.05631176123011
2019,Wales,Non-certified,Normal value,percentage (%),Units,W92000004,7.89316061353862
2019,Scotland,,Normal value,percentage (%),Units,S92000003,18.7417527622994
2019,Scotland,Certified,Normal value,percentage (%),Units,S92000003,11.1013590902067
2019,Scotland,Non-certified,Normal value,percentage (%),Units,S92000003,7.64039367209276
2019,Northern Ireland,,Normal value,percentage (%),Units,N92000002,7.97508837594184
2019,Northern Ireland,Certified,Normal value,percentage (%),Units,N92000002,4.74970235882669
2019,Northern Ireland,Non-certified,Normal value,percentage (%),Units,N92000002,3.22538601711515
2019,,,Normal value,percentage (%),Units,,13.1827821220146
2019,,Certified,Normal value,percentage (%),Units,,5.77372195183779
2019,,Non-certified,Normal value,percentage (%),Units,,7.40906017017685
2020,England,,Normal value,percentage (%),Units,E92000001,10.1296542097727
2020,England,Certified,Normal value,percentage (%),Units,E92000001,2.48120299249118
2020,England,Non-certified,Normal value,percentage (%),Units,E92000001,7.64845121728157
2020,Wales,,Normal value,percentage (%),Units,W92000004,14.9494723747687
2020,Wales,Certified,Normal value,percentage (%),Units,W92000004,7.03686644856039
2020,Wales,Non-certified,Normal value,percentage (%),Units,W92000004,7.91260592620834
2020,Scotland,,Normal value,percentage (%),Units,S92000003,18.8701209319042
2020,Scotland,Certified,Normal value,percentage (%),Units,S92000003,11.0613035988519
2020,Scotland,Non-certified,Normal value,percentage (%),Units,S92000003,7.80881733305232
2020,Northern Ireland,,Normal value,percentage (%),Units,N92000002,8.70009641011837
2020,Northern Ireland,Certified,Normal value,percentage (%),Units,N92000002,4.75966358815256
2020,Northern Ireland,Non-certified,Normal value,percentage (%),Units,N92000002,3.94043282196581
2020,,,Normal value,percentage (%),Units,,13.2651745102772
2020,,Certified,Normal value,percentage (%),Units,,5.75338835448662
2020,,Non-certified,Normal value,percentage (%),Units,,7.51178615579061
2021,England,,Normal value,percentage (%),Units,E92000001,10.1296542097727
2021,England,Certified,Normal value,percentage (%),Units,E92000001,2.42845786208541
2021,England,Non-certified,Normal value,percentage (%),Units,E92000001,7.70119634768734
2021,Wales,,Normal value,percentage (%),Units,W92000004,14.9494723747687
2021,Wales,Certified,Normal value,percentage (%),Units,W92000004,6.97409010334508
2021,Wales,Non-certified,Normal value,percentage (%),Units,W92000004,7.97538227142365
2021,Scotland,,Normal value,percentage (%),Units,S92000003,18.998489101509
2021,Scotland,Certified,Normal value,percentage (%),Units,S92000003,11.3683248316498
2021,Scotland,Non-certified,Normal value,percentage (%),Units,S92000003,7.63016426985923
2021,Northern Ireland,,Normal value,percentage (%),Units,N92000002,8.70009641011837
2021,Northern Ireland,Certified,Normal value,percentage (%),Units,N92000002,4.74170914524989
2021,Northern Ireland,Non-certified,Normal value,percentage (%),Units,N92000002,3.95838726486847
2021,,,Normal value,percentage (%),Units,,13.2651745102772
2021,,Certified,Normal value,percentage (%),Units,,5.8172201673586
2021,,Non-certified,Normal value,percentage (%),Units,,7.44795434291862
2022,England,,Normal value,percentage (%),Units,E92000001,10.1296542097727
2022,England,Certified,Estimated value,percentage (%),Units,E92000001,2.41745696697443
2022,England,Non-certified,Normal value,percentage (%),Units,E92000001,7.71219724279831
2022,Wales,,Normal value,percentage (%),Units,W92000004,14.9494723747687
2022,Wales,Certified,Estimated value,percentage (%),Units,W92000004,6.9768802263639
2022,Wales,Non-certified,Normal value,percentage (%),Units,W92000004,7.97259214840483
2022,Scotland,,Normal value,percentage (%),Units,S92000003,19.1268572711138
2022,Scotland,Certified,Estimated value,percentage (%),Units,S92000003,11.4928771332163
2022,Scotland,Non-certified,Normal value,percentage (%),Units,S92000003,7.63398013789756
2022,Northern Ireland,,Normal value,percentage (%),Units,N92000002,8.70009641011837
2022,Northern Ireland,Certified,Estimated value,percentage (%),Units,N92000002,4.74718425611792
2022,Northern Ireland,Non-certified,Normal value,percentage (%),Units,N92000002,3.95291215400045
2022,,,Normal value,percentage (%),Units,,13.3475668985398
2022,,Certified,Estimated value,percentage (%),Units,,5.85183561504385
2022,,Non-certified,Normal value,percentage (%),Units,,7.49573128349596
