Year,Flow of Official Development Assistance (ODA),Aid category (DAC 5 code),Aid sub-category (DAC 5 code),Aid description (CRS code),Observation status,Unit multiplier,Unit measure,Value
2016,,Banking and Financial Services (240),,Formal sector financial intermediaries (24030),Undefined,Thousands,GBP (£),216525.131915224
2016,,Banking and Financial Services (240),,Informal/semi-formal financial intermediaries (24040),Undefined,Thousands,GBP (£),28744.490154567004
2016,,Banking and Financial Services (240),,Monetary institutions (24020),Undefined,Thousands,GBP (£),2500.4067920316197
2009,Bilateral,Business and Other Services (250),,,Undefined,Thousands,GBP (£),18010.03
2009,Bilateral,Business and Other Services (250),,Business support services & institutions (25010),Undefined,Thousands,GBP (£),16582.79
2009,Bilateral,Business and Other Services (250),,Privatisation (25020),Undefined,Thousands,GBP (£),1427.24
2010,Bilateral,Business and Other Services (250),,,Undefined,Thousands,GBP (£),34986.72301
2010,Bilateral,Business and Other Services (250),,Business support services & institutions (25010),Undefined,Thousands,GBP (£),35621.90247
2010,Bilateral,Business and Other Services (250),,Privatisation (25020),Undefined,Thousands,GBP (£),635.17946
2011,Bilateral,Business and Other Services (250),,,Undefined,Thousands,GBP (£),116813.547693
2011,Bilateral,Business and Other Services (250),,Business support services & institutions (25010),Undefined,Thousands,GBP (£),116813.547693
2011,Bilateral,Business and Other Services (250),,Privatisation (25020),Undefined,Thousands,GBP (£),0.0
2012,Bilateral,Business and Other Services (250),,,Undefined,Thousands,GBP (£),30853.885361
2012,Bilateral,Business and Other Services (250),,Business support services & institutions (25010),Undefined,Thousands,GBP (£),30853.885361
2012,Bilateral,Business and Other Services (250),,Privatisation (25020),Undefined,Thousands,GBP (£),0.0
2013,Bilateral,Business and Other Services (250),,,Undefined,Thousands,GBP (£),52079.438897
2013,Bilateral,Business and Other Services (250),,Business support services & institutions (25010),Undefined,Thousands,GBP (£),52044.654897
2013,Bilateral,Business and Other Services (250),,Privatisation (25020),Undefined,Thousands,GBP (£),34.784
2014,Bilateral,Business and Other Services (250),,,Undefined,Thousands,GBP (£),39111.65174
2014,Bilateral,Business and Other Services (250),,Business support services & institutions (25010),Undefined,Thousands,GBP (£),39111.65174
2014,Bilateral,Business and Other Services (250),,Privatisation (25020),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,Business and Other Services (250),,,Undefined,Thousands,GBP (£),89888.15035
2015,Bilateral,Business and Other Services (250),,Business support services & institutions (25010),Undefined,Thousands,GBP (£),89795.01447000001
2015,Bilateral,Business and Other Services (250),,Privatisation (25020),Undefined,Thousands,GBP (£),93.13588
2016,Bilateral,Business and Other Services (250),,,Undefined,Thousands,GBP (£),89760.04425999991
2016,Bilateral,Business and Other Services (250),,Business support services & institutions (25010),Undefined,Thousands,GBP (£),88254.5181399999
2016,Bilateral,Business and Other Services (250),,Privatisation (25020),Undefined,Thousands,GBP (£),1505.52612
2010,Multilateral,Business and Other Services (250),,,Undefined,Thousands,GBP (£),31023.655406330497
2010,Multilateral,Business and Other Services (250),,Business support services & institutions (25010),Undefined,Thousands,GBP (£),27086.1642771552
2010,Multilateral,Business and Other Services (250),,Privatisation (25020),Undefined,Thousands,GBP (£),3937.4911291752705
2011,Multilateral,Business and Other Services (250),,,Undefined,Thousands,GBP (£),27588.731836658902
2011,Multilateral,Business and Other Services (250),,Business support services & institutions (25010),Undefined,Thousands,GBP (£),25437.6551903627
2011,Multilateral,Business and Other Services (250),,Privatisation (25020),Undefined,Thousands,GBP (£),2151.07664629612
2012,Multilateral,Business and Other Services (250),,,Undefined,Thousands,GBP (£),16246.725132963898
2012,Multilateral,Business and Other Services (250),,Business support services & institutions (25010),Undefined,Thousands,GBP (£),15381.6395028295
2012,Multilateral,Business and Other Services (250),,Privatisation (25020),Undefined,Thousands,GBP (£),865.085630134401
2013,Multilateral,Business and Other Services (250),,,Undefined,Thousands,GBP (£),45778.5728625727
2013,Multilateral,Business and Other Services (250),,Business support services & institutions (25010),Undefined,Thousands,GBP (£),42440.2174519585
2013,Multilateral,Business and Other Services (250),,Privatisation (25020),Undefined,Thousands,GBP (£),3338.35541061412
2014,Multilateral,Business and Other Services (250),,,Undefined,Thousands,GBP (£),42351.2304252888
2014,Multilateral,Business and Other Services (250),,Business support services & institutions (25010),Undefined,Thousands,GBP (£),31360.4416691537
2014,Multilateral,Business and Other Services (250),,Privatisation (25020),Undefined,Thousands,GBP (£),10990.788756135
2015,Multilateral,Business and Other Services (250),,,Undefined,Thousands,GBP (£),57915.1021098067
2015,Multilateral,Business and Other Services (250),,Business support services & institutions (25010),Undefined,Thousands,GBP (£),53656.1968023022
2015,Multilateral,Business and Other Services (250),,Privatisation (25020),Undefined,Thousands,GBP (£),4258.90530750452
2016,Multilateral,Business and Other Services (250),,,Undefined,Thousands,GBP (£),33666.5073430463
2016,Multilateral,Business and Other Services (250),,Business support services & institutions (25010),Undefined,Thousands,GBP (£),30540.4016769136
2016,Multilateral,Business and Other Services (250),,Privatisation (25020),Undefined,Thousands,GBP (£),3126.1056661327198
2010,,Business and Other Services (250),,,Undefined,Thousands,GBP (£),66010.3784163305
2010,,Business and Other Services (250),,Business support services & institutions (25010),Undefined,Thousands,GBP (£),62708.06674715519
2010,,Business and Other Services (250),,Privatisation (25020),Undefined,Thousands,GBP (£),3302.31166917527
2011,,Business and Other Services (250),,,Undefined,Thousands,GBP (£),144402.279529658
2011,,Business and Other Services (250),,Business support services & institutions (25010),Undefined,Thousands,GBP (£),142251.20288336198
2011,,Business and Other Services (250),,Privatisation (25020),Undefined,Thousands,GBP (£),2151.07664629612
2012,,Business and Other Services (250),,,Undefined,Thousands,GBP (£),47100.6104939639
2012,,Business and Other Services (250),,Business support services & institutions (25010),Undefined,Thousands,GBP (£),46235.5248638295
2012,,Business and Other Services (250),,Privatisation (25020),Undefined,Thousands,GBP (£),865.085630134401
2013,,Business and Other Services (250),,,Undefined,Thousands,GBP (£),97858.01175957269
2013,,Business and Other Services (250),,Business support services & institutions (25010),Undefined,Thousands,GBP (£),94484.8723489585
2013,,Business and Other Services (250),,Privatisation (25020),Undefined,Thousands,GBP (£),3373.1394106141197
2014,,Business and Other Services (250),,,Undefined,Thousands,GBP (£),81462.8821652888
2014,,Business and Other Services (250),,Business support services & institutions (25010),Undefined,Thousands,GBP (£),70472.0934091538
2014,,Business and Other Services (250),,Privatisation (25020),Undefined,Thousands,GBP (£),10990.788756135
2015,,Business and Other Services (250),,,Undefined,Thousands,GBP (£),147803.25245980598
2015,,Business and Other Services (250),,Business support services & institutions (25010),Undefined,Thousands,GBP (£),143451.211272302
2015,,Business and Other Services (250),,Privatisation (25020),Undefined,Thousands,GBP (£),4352.04118750452
2016,,Business and Other Services (250),,,Undefined,Thousands,GBP (£),123426.551603046
2016,,Business and Other Services (250),,Business support services & institutions (25010),Undefined,Thousands,GBP (£),118794.91981691301
2016,,Business and Other Services (250),,Privatisation (25020),Undefined,Thousands,GBP (£),4631.631786132721
2009,Bilateral,Communications (220),,,Undefined,Thousands,GBP (£),47628.7
2009,Bilateral,Communications (220),,Communications policy and administrative management (22010),Undefined,Thousands,GBP (£),20073.9
2009,Bilateral,Communications (220),,Information and communication technology (ICT) (22040),Undefined,Thousands,GBP (£),1515.26
2009,Bilateral,Communications (220),,Radio/television/print media (22030),Undefined,Thousands,GBP (£),1409.06
2009,Bilateral,Communications (220),,Telecommunications (22020),Undefined,Thousands,GBP (£),24630.48
2010,Bilateral,Communications (220),,,Undefined,Thousands,GBP (£),61651.4028789999
2010,Bilateral,Communications (220),,Communications policy and administrative management (22010),Undefined,Thousands,GBP (£),7111.441240000001
2010,Bilateral,Communications (220),,Information and communication technology (ICT) (22040),Undefined,Thousands,GBP (£),24495.518051
