Year,Country,Sex,Cause of death,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2015,England,,,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.657098257380897
2015,England,,Exposure to excessive natural heat,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0547581881150747
2015,England,,Exposure to excessive natural cold,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.529329151779056
2015,England,,Exposure to sunlight,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2015,England,,Victim of lightning,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0365054587433831
2015,England,,Victim of earthquake,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2015,England,,Victim of volcanic eruption,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2015,England,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2015,England,,Victim of cataclysmic storm,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2015,England,,Victim of flood,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2015,England,,Exposure to other and unspecified forces of nature,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0365054587433831
2015,England,Male,,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.591950523591337
2015,England,Male,Exposure to excessive natural heat,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0369969077244585
2015,England,Male,Exposure to excessive natural cold,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.48095980041796105
2015,England,Male,Exposure to sunlight,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2015,England,Male,Victim of lightning,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0739938154489171
2015,England,Male,Victim of earthquake,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2015,England,Male,Victim of volcanic eruption,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2015,England,Male,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2015,England,Male,Victim of cataclysmic storm,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2015,England,Male,Victim of flood,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2015,England,Male,Exposure to other and unspecified forces of nature,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2015,England,Female,,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.720537898834389
2015,England,Female,Exposure to excessive natural heat,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0720537898834389
2015,England,Female,Exposure to excessive natural cold,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.576430319067511
2015,England,Female,Exposure to sunlight,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2015,England,Female,Victim of lightning,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2015,England,Female,Victim of earthquake,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2015,England,Female,Victim of volcanic eruption,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2015,England,Female,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2015,England,Female,Victim of cataclysmic storm,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2015,England,Female,Victim of flood,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0
2015,England,Female,Exposure to other and unspecified forces of nature,Undefined,Units,"Rate per 1,000,000 population",E92000001,0.0720537898834389
2015,Wales,,,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.968027347417916
2015,Wales,,Exposure to excessive natural heat,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2015,Wales,,Exposure to excessive natural cold,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.968027347417916
2015,Wales,,Exposure to sunlight,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2015,Wales,,Victim of lightning,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2015,Wales,,Victim of earthquake,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2015,Wales,,Victim of volcanic eruption,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2015,Wales,,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2015,Wales,,Victim of cataclysmic storm,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2015,Wales,,Victim of flood,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2015,Wales,,Exposure to other and unspecified forces of nature,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2015,Wales,Male,,Undefined,Units,"Rate per 1,000,000 population",W92000004,1.31099313629543
2015,Wales,Male,Exposure to excessive natural heat,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2015,Wales,Male,Exposure to excessive natural cold,Undefined,Units,"Rate per 1,000,000 population",W92000004,1.31099313629543
2015,Wales,Male,Exposure to sunlight,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2015,Wales,Male,Victim of lightning,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2015,Wales,Male,Victim of earthquake,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2015,Wales,Male,Victim of volcanic eruption,Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
2015,Wales,Male,"Victim of avalanche, landslide and other earth movements",Undefined,Units,"Rate per 1,000,000 population",W92000004,0.0
